,front_leg,mid_leg,back_leg,tf,ROI,lookback,std_dev,front_vector,middle_vector,back_vector
200,ETH-28JAN22,ETH-7JAN22,BTC-7JAN22,120,0.9989593652889456,20,2,1.0,-1.02,0.0
201,ETH-28JAN22,ETH-7JAN22,BTC-7JAN22,180,0.9697273940685451,20,2,1.0,-6.84,0.03
202,ETH-28JAN22,ETH-7JAN22,BTC-30SEP22,15,0.9390166897937797,20,2,1.0,-1.01,0.0
203,ETH-28JAN22,ETH-7JAN22,BTC-30SEP22,30,0.9726344047803657,20,2,1.0,-1.02,0.0
204,ETH-28JAN22,ETH-7JAN22,BTC-30SEP22,60,0.9900740510907741,20,2,1.0,-1.07,0.0
205,ETH-28JAN22,ETH-7JAN22,BTC-30SEP22,120,0.996740910338917,20,2,1.0,-1.04,0.0
206,ETH-28JAN22,ETH-7JAN22,BTC-30SEP22,180,0.9735738815192445,20,2,1.0,-4.6,0.02
207,ETH-28JAN22,ETH-7JAN22,BTC-PERPETUAL,15,0.9390166897937797,20,2,1.0,-1.01,0.0
208,ETH-28JAN22,ETH-7JAN22,BTC-PERPETUAL,30,0.9726344047803657,20,2,1.0,-1.02,0.0
209,ETH-28JAN22,ETH-7JAN22,BTC-PERPETUAL,60,0.9900740510907741,20,2,1.0,-1.07,0.0
210,ETH-28JAN22,ETH-7JAN22,BTC-PERPETUAL,120,0.996740910338917,20,2,1.0,-1.04,0.0
211,ETH-28JAN22,ETH-7JAN22,BTC-PERPETUAL,180,0.9718619208329216,20,2,1.0,-5.63,0.03
212,ETH-28JAN22,ETH-PERPETUAL,BTC-25MAR22,15,0.881642050505134,20,2,1.0,-1.0,-0.0
213,ETH-28JAN22,ETH-PERPETUAL,BTC-25MAR22,30,0.9564753419475358,20,2,1.0,-1.0,-0.0
214,ETH-28JAN22,ETH-PERPETUAL,BTC-25MAR22,60,0.9846141232095854,20,2,1.0,-1.0,-0.0
215,ETH-28JAN22,ETH-PERPETUAL,BTC-25MAR22,120,0.9769896950272182,20,2,1.0,-1.0,-0.0
216,ETH-28JAN22,ETH-PERPETUAL,BTC-25MAR22,180,0.9969633121032154,20,2,1.0,-1.0,-0.0
217,ETH-28JAN22,ETH-PERPETUAL,BTC-25MAR22,360,0.9974731451114602,20,2,1.0,-1.01,-0.0
218,ETH-28JAN22,ETH-PERPETUAL,BTC-25MAR22,720,0.997925945020947,20,2,1.0,-1.01,-0.01
219,ETH-28JAN22,ETH-PERPETUAL,BTC-28JAN22,15,0.881642050505134,20,2,1.0,-1.0,-0.0
220,ETH-28JAN22,ETH-PERPETUAL,BTC-28JAN22,30,0.9564753419475358,20,2,1.0,-1.0,-0.0
221,ETH-28JAN22,ETH-PERPETUAL,BTC-28JAN22,60,0.9846141232095854,20,2,1.0,-1.0,-0.0
222,ETH-28JAN22,ETH-PERPETUAL,BTC-28JAN22,120,0.9850119259397961,20,2,1.0,-1.01,-0.0
223,ETH-28JAN22,ETH-PERPETUAL,BTC-28JAN22,180,0.9969633121032154,20,2,1.0,-1.0,-0.0
224,ETH-28JAN22,ETH-PERPETUAL,BTC-28JAN22,360,0.9980432835736441,20,2,1.0,-1.02,-0.0
